      Time        DX           DY       
   0.00000E+00 -1.00000E+00  0.00000E+00
   5.00000E-01 -3.91049E-01 -9.20370E-01
   1.00000E+00  9.86292E-01 -1.65011E-01
   1.50000E+00  8.84132E-01 -4.67237E-01
   2.00000E+00 -7.93566E-01 -6.08484E-01
   2.50000E+00 -9.96334E-01 -8.55439E-02
   3.00000E+00  1.76652E-01 -9.84273E-01
   3.50000E+00  9.99914E-01 -1.31420E-02
   4.00000E+00  5.77564E-01 -8.16346E-01
   4.50000E+00 -9.63293E-01 -2.68452E-01
   5.00000E+00 -9.42305E-01 -3.34754E-01
   5.50000E+00  6.65293E-01 -7.46583E-01
   6.00000E+00  9.99498E-01 -3.16965E-02
   6.50000E+00  5.11945E-02 -9.98689E-01
   7.00000E+00 -9.98619E-01 -5.25408E-02
   7.50000E+00 -7.27459E-01 -6.86151E-01
   8.00000E+00  9.19858E-01 -3.92252E-01
   8.50000E+00  9.75626E-01 -2.19440E-01
   9.00000E+00 -4.98374E-01 -8.66962E-01
   9.50000E+00 -9.99992E-01 -4.02112E-03
   1.00000E+01 -2.75087E-01 -9.61419E-01
   1.05000E+01  9.93019E-01 -1.17952E-01
   1.10000E+01  8.38457E-01 -5.44968E-01
   1.15000E+01 -8.48058E-01 -5.29903E-01
   1.20000E+01 -9.91979E-01 -1.26404E-01
   1.25000E+01  2.97939E-01 -9.54585E-01
   1.30000E+01  9.99997E-01 -2.62432E-03
   1.35000E+01  4.78512E-01 -8.78081E-01
   1.40000E+01 -9.78037E-01 -2.08431E-01
   1.45000E+01 -9.13709E-01 -4.06369E-01
   1.50000E+01  7.41087E-01 -6.71409E-01
   1.55000E+01  9.98301E-01 -5.82659E-02
   1.60000E+01 -7.54889E-02 -9.97147E-01
   1.65000E+01 -9.99622E-01 -2.75083E-02
   1.70000E+01 -6.49352E-01 -7.60488E-01
   1.75000E+01  9.46886E-01 -3.21568E-01
   1.80000E+01  9.59787E-01 -2.80730E-01
   1.85000E+01 -5.95326E-01 -8.03484E-01
   1.90000E+01 -9.99871E-01 -1.60837E-02
   1.95000E+01 -1.52782E-01 -9.88260E-01
   2.00000E+01  9.96907E-01 -7.85881E-02
   2.05000E+01  7.81784E-01 -6.23549E-01
   2.10000E+01 -8.91733E-01 -4.52563E-01
   2.15000E+01 -9.84584E-01 -1.74910E-01
   2.20000E+01  4.12403E-01 -9.11002E-01
   2.25000E+01  1.00000E+00 -1.48457E-04
   2.30000E+01  3.69374E-01 -9.29281E-01
   2.35000E+01 -9.87854E-01 -1.55384E-01
   2.40000E+01 -8.76164E-01 -4.82013E-01
   2.45000E+01  8.04918E-01 -5.93385E-01
   2.50000E+01  9.95686E-01 -9.27901E-02
   2.55000E+01 -2.00367E-01 -9.79721E-01
   2.60000E+01 -9.99945E-01 -1.04971E-02
   2.65000E+01 -5.59381E-01 -8.28911E-01
   2.70000E+01  9.66569E-01 -2.56407E-01
   2.75000E+01  9.37444E-01 -3.48137E-01
   2.80000E+01 -6.80791E-01 -7.32478E-01
   2.85000E+01 -9.99345E-01 -3.61807E-02
   2.90000E+01 -2.68547E-02 -9.99639E-01
   2.95000E+01  9.98890E-01 -4.71101E-02
   3.00000E+01  7.13386E-01 -7.00771E-01
   3.05000E+01 -9.25685E-01 -3.78294E-01
   3.10000E+01 -9.73024E-01 -2.30703E-01
   3.15000E+01  5.17851E-01 -8.55471E-01
   3.20000E+01  9.99984E-01 -5.71483E-03
   3.25000E+01  2.52001E-01 -9.67727E-01
   3.30000E+01 -9.93956E-01 -1.09784E-01
   3.35000E+01 -8.28449E-01 -5.60065E-01
   3.40000E+01  8.57259E-01 -5.14885E-01
   3.45000E+01  9.90827E-01 -1.35140E-01
   3.50000E+01 -3.20537E-01 -9.47236E-01
   3.55000E+01 -9.99999E-01 -1.52442E-03
   3.60000E+01 -4.58276E-01 -8.88810E-01
   3.65000E+01  9.80267E-01 -1.97679E-01
   3.70000E+01  9.07230E-01 -4.20636E-01
   3.75000E+01 -7.54272E-01 -6.56562E-01
   3.80000E+01 -9.97932E-01 -6.42849E-02
   3.85000E+01  9.97161E-02 -9.95016E-01
   3.90000E+01  9.99721E-01 -2.36163E-02
   3.95000E+01  6.32972E-01 -7.74175E-01
   4.00000E+01 -9.51196E-01 -3.08587E-01
   4.05000E+01 -9.56041E-01 -2.93235E-01
   4.10000E+01  6.12663E-01 -7.90344E-01
   4.15000E+01  9.99813E-01 -1.93221E-02
   4.20000E+01  1.28777E-01 -9.91674E-01
   4.25000E+01 -9.97410E-01 -7.19237E-02
   4.30000E+01 -7.69567E-01 -6.38566E-01
   4.35000E+01  8.98973E-01 -4.38003E-01
   4.40000E+01  9.82724E-01 -1.85079E-01
   4.45000E+01 -4.33422E-01 -9.01191E-01
   4.50000E+01 -1.00000E+00 -5.93828E-04
   4.55000E+01 -3.47394E-01 -9.37719E-01
   4.60000E+01  9.89280E-01 -1.46033E-01
   4.65000E+01  8.67820E-01 -4.96879E-01
   4.70000E+01 -8.15845E-01 -5.78270E-01
   4.75000E+01 -9.94955E-01 -1.00325E-01
   4.80000E+01  2.23907E-01 -9.74610E-01
   4.85000E+01  9.99967E-01 -8.14892E-03
   4.90000E+01  5.40785E-01 -8.41161E-01
   4.95000E+01 -9.69624E-01 -2.44600E-01
   5.00000E+01 -9.32291E-01 -3.61709E-01
   5.05000E+01  6.95845E-01 -7.18192E-01
   5.10000E+01  9.99161E-01 -4.09607E-02
   5.15000E+01  2.49094E-03 -9.99997E-01
   5.20000E+01 -9.99119E-01 -4.19743E-02
   5.25000E+01 -6.98868E-01 -7.15251E-01
   5.30000E+01  9.31201E-01 -3.64506E-01
   5.35000E+01  9.70222E-01 -2.42216E-01
   5.40000E+01 -5.36933E-01 -8.43625E-01
   5.45000E+01 -9.99970E-01 -7.70542E-03
   5.50000E+01 -2.28697E-01 -9.73498E-01
   5.55000E+01  9.94794E-01 -1.01902E-01
   5.60000E+01  8.18027E-01 -5.75179E-01
   5.65000E+01 -8.66067E-01 -4.99928E-01
   5.70000E+01 -9.89555E-01 -1.44156E-01
   5.75000E+01  3.42864E-01 -9.39385E-01
   5.80000E+01  1.00000E+00 -7.21435E-04
   5.85000E+01  4.37677E-01 -8.99132E-01
   5.90000E+01 -9.82324E-01 -1.87190E-01
   5.95000E+01 -9.00410E-01 -4.35042E-01
   6.00000E+01  7.67016E-01 -6.41628E-01
   6.05000E+01  9.97505E-01 -7.05972E-02
   6.10000E+01 -1.23855E-01 -9.92300E-01
   6.15000E+01 -9.99800E-01 -2.00207E-02
   6.20000E+01 -6.16155E-01 -7.87625E-01
   6.25000E+01  9.55244E-01 -2.95818E-01
   6.30000E+01  9.52045E-01 -3.05959E-01
   6.35000E+01 -6.29569E-01 -7.76945E-01
   6.40000E+01 -9.99739E-01 -2.28571E-02
   6.45000E+01 -1.04659E-01 -9.94508E-01
   6.50000E+01  9.97849E-01 -6.55516E-02
   6.55000E+01  7.56913E-01 -6.53515E-01
   6.60000E+01 -9.05863E-01 -4.23570E-01
   6.65000E+01 -9.80701E-01 -1.95514E-01
   6.70000E+01  4.54094E-01 -8.90954E-01
   6.75000E+01  9.99999E-01 -1.33611E-03
   6.80000E+01  3.25124E-01 -9.45671E-01
   6.85000E+01 -9.90577E-01 -1.36960E-01
   6.90000E+01 -8.59092E-01 -5.11822E-01
   6.95000E+01  8.26352E-01 -5.63154E-01
   7.00000E+01  9.94135E-01 -1.08149E-01
   7.05000E+01 -2.47253E-01 -9.68951E-01
   7.10000E+01 -9.99981E-01 -6.09764E-03
   7.15000E+01 -5.21784E-01 -8.53077E-01
   7.20000E+01  9.72468E-01 -2.33037E-01
   7.25000E+01  9.26838E-01 -3.75461E-01
   7.30000E+01 -7.10454E-01 -7.03744E-01
   7.35000E+01 -9.98940E-01 -4.60361E-02
   7.40000E+01  2.18750E-02 -9.99761E-01
   7.45000E+01  9.99310E-01 -3.71339E-02
   7.50000E+01  6.83905E-01 -7.29571E-01
